Subject : 	3

Run : 	3001

Date : 	XXXX

Trial type 	 Side 	 Time

START 		125545
2	4	125545
2	4	127780
2	4	130020
2	4	132260
1	12	134500
1	12	136673
1	12	138846
6	4	141019
5	4	143263
2	12	145549
2	12	147789
8	4	150038
5	4	152341
5	4	154630
0		156916
1	4	163922
1	4	166094
1	4	168268
5	4	170444
7	4	172731
2	4	175088
2	4	177328
2	4	179568
2	4	181808
8	12	184056
1	12	186355
1	12	188527
1	12	190701
1	12	192874
8	12	195055
0		197354
5	12	204364
5	12	206670
5	12	208960
5	12	211234
8	4	213527
5	4	215830
5	4	218120
5	4	220411
2	4	222697
6	4	224937
5	12	227180
5	12	229471
7	12	231757
0		234114
1	12	241119
1	12	243291
1	12	245466
6	4	247638
1	4	249878
2	12	252051
2	12	254291
7	12	256531
1	12	258888
1	12	261060
1	12	263235
1	12	265408
7	4	267581
0		269938
5	4	276947
5	4	279236
5	4	281526
5	4	283816
2	12	286103
2	12	288343
2	12	290583
7	12	292823
5	12	295184
5	12	297474
5	12	299765
8	12	302059
0		304358
1	4	311362
1	4	313535
6	12	315708
5	12	317952
5	12	320242
8	12	322537
1	4	324835
2	4	327008
5	4	329253
5	4	331542
7	4	333828
0		336186
1	4	343191
1	4	345363
5	12	347541
5	12	349831
5	12	352105
5	12	354395
2	12	356680
2	12	358920
2	12	361160
8	4	363409
5	12	365712
0		367998
2	4	375003
2	4	377242
2	4	379482
8	4	381730
5	12	384033
6	4	386319
1	4	388559
1	4	390732
1	4	392905
1	4	395079
5	4	397255
5	4	399545
5	4	401835
5	4	404126
8	12	406421
0		408719
2	12	415724
2	12	417964
2	12	420204
2	12	422444
5	4	424687
5	4	426978
5	4	429269
1	4	431554
1	4	433727
1	4	435901
2	4	438074
2	4	440314
6	4	442554
0		444793
1	12	451799
1	12	453971
8	4	456153
2	12	458451
1	12	460691
6	12	462864
2	12	465088
2	12	467328
2	12	469568
2	12	471809
6	12	474048
0		476288
1	4	483292
1	4	485465
1	4	487638
1	4	489812
7	12	491985
5	12	494345
5	12	496636
5	12	498927
6	12	501212
2	4	503452
2	4	505693
2	4	507933
0		510172
1	12	517178
1	12	519350
6	12	521523
2	4	523764
2	4	526003
7	12	528243
1	12	530600
7	4	532772
2	12	535131
7	4	537371
0		539727
Final fixation		546732



RESPONSE LOG
Button 	 Time
5	3702
1	142049
1	151222
1	173769
1	185149
1	196174
2	197519
1	201869
1	214499
1	226032
1	232761
1	248613
1	257627
1	268573
1	293942
1	303312
1	316852
1	323701
1	334916
1	364523
1	382907
1	387476
1	407542
1	443630
1	457218
1	463969
1	475067
1	493004
1	502231
1	522602
1	529381
1	533825
1	538423
